,Date,Average Loss,Average Error,Learning Rate,Model Type,
0,2020-04-12 23:55:22.668090,tensor(4.7599e+15),"tensor([[ 7527777.5000, -6343169.5000,  4383054.5000,  -255982.0156,
          3988723.7500]])",0.0001,deep,
0,2020-04-13 00:13:24.198341,tensor(2.0766e+15),"tensor([[ -343676.5625,   651579.8125,  2691536.7500, -5964639.5000,
          -202308.5156]])",0.0001,deep,implemented dropout layers
0,2020-04-15 15:04:06.488630,tensor(4.0045e+15),"tensor([[ 4908095.0000,   831098.8750, -4911614.5000,   361088.7188,
          1245866.8750]])",0.0001,deep,
0,2020-04-15 16:07:18.278954,tensor(6.2042e+15),"tensor([[-1279341.2500, -1010847.3750,  -534608.5000,  -157061.2031,
          -239505.9688]])",0.0001,deep,
0,2020-04-20 15:48:26.625600,tensor(2.1778e+15),"tensor([[ 1606751.7500,  -631695.8750,  -970120.0000,  2683687.7500,
         -4715379.0000]])",0.0001,deep,
0,2020-04-22 19:38:53.041261,tensor(3.5051e+15),"tensor([[-1497098.7500, -1777160.6250, -6853060.5000, -1781507.7500,
          -328291.2500]])",0.0001,deep,
0,2020-04-22 19:44:10.230501,tensor(3.5051e+15),"tensor([[-1633128.3750, -1897209.6250, -6638124.5000, -1895873.1250,
          -538498.0625]])",0.0001,deep,
0,2020-04-22 19:54:08.094672,tensor(3.5051e+15),"tensor([[  748001.6250,   622725.5625, -1988401.1250,   572402.6250,
          1326436.8750]])",0.0001,deep,
0,2020-04-22 19:58:20.040266,tensor(3.5051e+15),"tensor([[-2368355.5000, -2565015.5000, -5936388.5000, -2539808.2500,
         -1578138.5000]])",0.0001,deep,
0,2020-04-22 19:58:58.210846,tensor(3.5051e+15),"tensor([[  721120.8125,   606987.5000, -1739171.1250,   565112.3125,
          1242242.6250]])",0.0001,deep,
0,2020-04-22 20:03:37.680872,tensor(3.5051e+15),"tensor([[-2359137.0000, -2577219.7500, -6354562.5000, -2557801.7500,
         -1478739.0000]])",0.0001,deep,
0,2020-04-24 10:40:17.597160,tensor(3.5051e+15),"tensor([[-2224501.5000, -2430864.5000, -5976818.5000, -2409015.7500,
         -1396229.5000]])",0.0001,deep,
0,2020-04-24 10:40:40.163598,tensor(3.5051e+15),"tensor([[-1531123.8750, -1819315.0000, -7075106.0000, -1828306.7500,
          -322846.5625]])",0.0001,deep,
0,2020-04-24 10:46:19.407207,tensor(3.5051e+15),"tensor([[-2306703.5000, -2516413.7500, -6100494.0000, -2491680.5000,
         -1468811.3750]])",0.0001,deep,
0,2020-04-24 10:53:59.692477,tensor(3.5051e+15),"tensor([[  773211.9375,   656082.3750, -1775386.0000,   610087.0625,
          1312080.5000]])",0.0001,deep,
0,2020-04-24 10:57:51.257748,tensor(3.5051e+15),"tensor([[  742858.7500,   630335.0000, -1700731.8750,   590407.6875,
          1261040.1250]])",0.0001,deep,
0,2020-04-24 10:58:37.166102,tensor(3.5051e+15),"tensor([[-1513722.0000, -1802677.2500, -7076597.0000, -1811968.1250,
          -301524.0312]])",0.0001,deep,
0,2020-04-24 10:58:53.568911,tensor(3.5051e+15),"tensor([[-2268799.7500, -2483323.5000, -6196400.5000, -2463980.5000,
         -1403003.2500]])",0.0001,deep,
0,2020-04-24 11:05:22.060943,tensor(3.5051e+15),"tensor([[-1519855.3750, -1805050.1250, -7001931.0000, -1813407.6250,
          -324676.9062]])",0.0001,deep,
0,2020-04-24 11:09:01.490388,tensor(3.5051e+15),"tensor([[ -92454.9844, -123513.5156, -768156.9375, -139461.8281,   49077.6367]])",0.0001,deep,
0,2020-04-24 11:09:15.923930,tensor(3.5051e+15),"tensor([[-1516998.2500, -1781128.8750, -6551561.0000, -1783692.8750,
          -416951.7500]])",0.0001,deep,
0,2020-04-24 11:10:16.331816,tensor(3.5051e+15),"tensor([[-1451398.1250, -1735643.6250, -6900673.5000, -1741792.1250,
          -263127.9375]])",0.0001,deep,
0,2020-04-24 11:16:52.729124,tensor(3.5051e+15),"tensor([[-1534768.6250, -1820752.0000, -7019656.5000, -1827451.8750,
          -338721.0938]])",0.0001,deep,
0,2020-04-24 11:20:15.584700,tensor(3.5051e+15),"tensor([[-1447742.0000, -1713738.0000, -6520952.0000, -1716717.3750,
          -339435.5000]])",0.0001,deep,
0,2020-04-24 11:22:40.065828,tensor(3.5051e+15),"tensor([[-2152909.0000, -2370168.2500, -6117061.0000, -2348499.2500,
         -1278897.5000]])",0.0001,deep,
0,2020-04-24 11:39:17.006932,tensor(2.0918e+15),"tensor([[-1637369.6250,  1918587.3750, -4843483.5000,  2376320.0000,
           225763.1406]])",0.0001,deep,
0,2020-04-25 16:30:26.777477,tensor(2.0918e+15),"tensor([[-1643277.7500,  1922946.6250, -4857360.5000,  2382288.2500,
           224650.7188]])",0.0001,deep,
0,2020-04-30 17:59:04.222252,tensor(0.0095),"tensor([[-0.0124,  0.0027,  0.0184,  0.0273,  0.0303]])",0.0001,deep,implemented k cluster
0,2020-04-30 17:59:29.698200,tensor(0.0006),"tensor([[0.0176, 0.0216, 0.0210, 0.0230, 0.0230]])",0.0001,deep,
0,2020-04-30 18:00:58.189278,tensor(0.0021),"tensor([[0.0554, 0.0464, 0.0372, 0.0212, 0.0135]])",0.0001,deep,
0,2020-04-30 18:52:51.544724,tensor(0.0058),"tensor([[-0.0117, -0.0071,  0.0040,  0.0172,  0.0241]])",0.0001,deep,
0,2020-04-30 18:52:55.639021,tensor(0.0015),"tensor([[0.0154, 0.0174, 0.0301, 0.0479, 0.0587]])",0.0001,deep,
0,2020-04-30 18:52:59.955210,tensor(0.0198),"tensor([[-0.0413, -0.0402, -0.0326, -0.0225, -0.0172]])",0.0001,deep,
